"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NEPSE","2023-08-03","2088.56","2109.29","2083.92","2089.84","0.14","1781941701.81"
"NEPSE","2023-08-02","2078.6","2086.84","2062","2086.84","0.44","1812473856.13"
"NEPSE","2023-08-01","2106.06","2124.32","2070.33","2077.58","-1.35","1924434899.9"
"NEPSE","2023-07-31","2097.85","2126.57","2094.06","2106.18","0.27","1858002175.73"
"NEPSE","2023-07-30","2126.85","2138.67","2091.5","2100.34","-1.22","2502886527.87"
"NEPSE","2023-07-27","2155.49","2165.97","2124.32","2126.48","-1.37","2425780564.1"
"NEPSE","2023-07-26","2168.46","2186.49","2152.54","2156.2","-0.37","2432508769.57"
"NEPSE","2023-07-25","2202.99","2206.46","2162.55","2164.31","-1.64","2910732418.71"
"NEPSE","2023-07-24","2227.21","2244.13","2194.16","2200.5","-1.19","4737608810.44"
"NEPSE","2023-07-23","2166.47","2228.74","2166.44","2227.16","2.92","4375196232.8"
"NEPSE","2023-07-20","2165.7","2179.72","2152.82","2163.92","-0.06","3052410659.63"
"NEPSE","2023-07-19","2154.02","2174.63","2141.82","2165.24","0.52","3348679900.45"
"NEPSE","2023-07-18","2147.69","2171.13","2146.52","2154.07","0.46","3548829029.13"
"NEPSE","2023-07-17","2097.99","2144.6","2089.16","2144.16","2.24","2560191288.71"
"NEPSE","2023-07-16","2085.68","2105.67","2079.18","2097.09","0.58","2376427573.77"
"NEPSE","2023-07-13","2095.72","2121.83","2080.42","2084.93","-0.60","3390660605.31"
"NEPSE","2023-07-12","2072.24","2099.71","2072.24","2097.55","1.22","3187695774.34"
"NEPSE","2023-07-11","2078.25","2084.92","2064.52","2072.24","-0.23","2859490490.47"
"NEPSE","2023-07-10","2081.75","2102.09","2067.85","2076.96","-0.04","3797986583.25"
"NEPSE","2023-07-09","2050.36","2085.23","2049.69","2077.76","1.38","3042543961.01"
"NEPSE","2023-07-06","2050.28","2064.57","2033.43","2049.38","0.00","3077498315.3"
"NEPSE","2023-07-05","2090.38","2101.59","2046.55","2049.44","-1.88","3073992136.78"
"NEPSE","2023-07-04","2079.42","2104.38","2067.22","2088.7","0.61","2576140128.5"
"NEPSE","2023-07-03","2096.72","2113.74","2069.6","2075.97","-1.02","4051078375.44"
"NEPSE","2023-07-02","2154.8","2160.24","2094.07","2097.29","-2.50","5081976179.39"
"NEPSE","2023-06-28","2193.51","2205.97","2146.06","2150.99","-1.62","5972286481.45"
"NEPSE","2023-06-27","2132.61","2186.68","2132.48","2186.36","2.67","5476287740.48"
"NEPSE","2023-06-26","2124.01","2154.86","2120.42","2129.42","0.55","5312422087.27"
"NEPSE","2023-06-25","2057.37","2119.8","2057.37","2117.73","3.03","6490412665.89"
"NEPSE","2023-06-22","2054.62","2074.38","2042.28","2055.53","0.23","3444862501.6"
"NEPSE","2023-06-21","2067.21","2082.97","2043.84","2050.78","-0.68","3496822260.78"
"NEPSE","2023-06-20","2093.56","2117.3","2057.03","2064.83","-1.27","4110606953.97"
"NEPSE","2023-06-19","2097.53","2107.6","2075.21","2091.39","-0.14","4740608880.28"
"NEPSE","2023-06-18","2045.06","2094.33","2037.9","2094.33","2.56","4869184016.02"
"NEPSE","2023-06-15","2040.58","2050.03","2017.7","2042.07","0.25","3162810843.58"
"NEPSE","2023-06-14","2020.15","2067.1","2015.19","2037.06","0.81","5017807682.8"
"NEPSE","2023-06-13","1989.43","2034.8","1977.52","2020.64","1.72","4126695943.97"
"NEPSE","2023-06-12","1984.3638","2003.25","1972","1987.87","0.39","2886509415.69"
"NEPSE","2023-06-11","1941.52","1983.98","1941.24","1980.09","2.09","3454344563.91"
"NEPSE","2023-06-08","1933.4","1947.45","1920.65","1939.61","0.38","2305888931.72"
"NEPSE","2023-06-07","1929.16","1950.81","1928.13","1932.33","0.24","2368815635.92"
"NEPSE","2023-06-06","1902.75","1927.66","1893.61","1927.65","1.35","1981012701.99"
"NEPSE","2023-06-05","1922.13","1935.8","1899.54","1901.99","-0.91","1973491107.31"
"NEPSE","2023-06-04","1866.35","1925.11","1865.73","1919.37","2.84","1656340391.57"
